Release,RunType,Feature,TestCaseID,FunctionName
Arlo+,daily,Regression,FtOpSoQosAclFn097,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv6acl_ingress_tcpflags_forward,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv6acl_ingress_tcpflags_drop,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv4acl_ingress_tcpflas_drop,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,FtOpSoQosAclFn102,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn103,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn104,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn105,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,FtOpSoQosAclFn106,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ipv4acl_ingress_ip_protocol,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_l4ports_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_dstip_drop,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_dstip_forward,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv4acl_ingress_srcip_dstip_redirect,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,ipv6acl_ingress_ip_protocol,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv6acl_ingress_srcip_dstip_drop,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ipv6acl_ingress_srcip_dstip_forward,test_ft_acl_ingress_ipv6
Arlo+,daily,Regression,ft_v4_v6_queue,test_ft_cos_cpu_counters
Arlo+,daily,Regression,ft_cos_routing,test_ft_cos_cpu_counters
Arlo+,daily,Regression,ft_cos_switching,test_ft_cos_cpu_counters
Arlo+,daily,Regression,ft_arp_clear_cache_static_and_dynamic_entries,test_ft_arp_clear_cache_static_and_dynamic_entries
Arlo+,daily,Regression,ft_arp_dynamic,test_ft_arp_clear_cache_static_and_dynamic_entries
Arlo+,daily,Regression,ft_arp_dynamic_renew_traffic_test,test_ft_arp_dynamic_renew_traffic_test
Arlo+,daily,Regression,ft_arp_entry_link_failure,test_ft_arp_entry_link_failure
Arlo+,daily,Regression,ft_arp_static,test_ft_arp_clear_cache_static_and_dynamic_entries
Arlo+,daily,Regression,ft_bgp_v6peer_auth_simple,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_v6peer_sonic_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_v6peer_vtysh_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_sonic_show_summary_neigh,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_v4peer_asn4,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_v4peer_auth_simple,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_v4peer_sonic_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_bgp_v4peer_vtysh_clear,TestBGPRif.test_ft_bgp_clear
Arlo+,daily,Regression,ft_ip6_connected_host_traffic_forward,test_ft_ip6_static_route_traffic_forward_blackhole
Arlo+,daily,Regression,ft_ip_static_route_traffic_forward,test_ft_ip_static_route_traffic_forward
Arlo+,daily,Regression,ft_tacacs_enable_disable_failthrough,test_ft_tacacs_enable_disable_failthrough
Arlo+,daily,Regression,ft_tacacs_failthrough_with_multiple_servers,test_ft_tacacs_enable_disable_failthrough
Arlo+,daily,Regression,ft_tacacs_modify_server_parameters,test_ft_tacacs_modify_server_parameters
Arlo+,daily,Regression,ft_tacacs_nondefault_global_key_timeout,test_ft_tacacs_modify_server_parameters
Arlo+,daily,Regression,ft_tacacs_ssh_login_highest_priorityserver,test_ft_tacacs_ssh_login_highest_priorityserver
Arlo+,daily,Regression,ft_tacacs_ssh_login_with_nondefaultpriority_servers,test_ft_tacacs_ssh_login_highest_priorityserver
Arlo+,daily,Regression,ft_ipv4_bgp_ibgp_ebgp_traffic,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,tacacs_key_config_with_special_characters,test_ft_tacacs_maximum_servers
Arlo+,daily,Regression,l3_fwding ,test_l3_fwding
Arlo+,daily,Regression,base_line_multiple_portchannel_create_delete,test_base_line_portchannel_create_delete
Arlo+,daily,Regression,base_line_random_link_flap_portchannel,test_base_line_random_link_flap_portchannel
Arlo+,daily,Regression,ft_lag_l2_hash_smac_dmac_vlan,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,ft_lag_l3_hash_sip_dip_l4port,test_ft_lag_l3_hash_sip_dip_l4port
Arlo+,daily,Regression,ft_lag_member_remove_add,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,ft_lag_remove_vlan,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,ft_lag_withone_member,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,ft_portchannel_del_members,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,FtOpSoSwLagFn021,test_base_line_random_link_flap_portchannel
Arlo+,daily,Regression,traffic_loss_when_portchannel_member_removed_and_added,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,portchannel_status_when_all_members_are_shutdown,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,shutdown_on_portchannel_member,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,tagged_traffic_on_portchannel,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,traffic_distribution_on_new_portchannel_member,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,traffic_on_disabled_portchannel,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,untagged_traffic_on_portchannel,test_ft_untagged_traffic_on_portchannel
Arlo+,daily,Regression,ft_lldp_interaction_with_lag,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,ft_lldp_ConfigManAddrEntry,test_ft_lldp_ConfigManAddrEntry
Arlo+,daily,Regression,ft_lldp_lldplocportid,test_ft_lldp_lldplocportid
Arlo+,daily,Regression,ft_lldp_lldplocsysdesc,test_ft_lldp_lldplocsysdesc
Arlo+,daily,Regression,ft_lldp_lldplocsysname,test_ft_lldp_lldplocsysname
Arlo+,daily,Regression,ft_lldp_LocManAddrEntry,test_ft_lldp_LocManAddrEntry
Arlo+,daily,Regression,ft_lldp_LocManAddrLen,test_ft_lldp_LocManAddrLen
Arlo+,daily,Regression,ft_lldp_LocManAddrlfld,test_ft_lldp_LocManAddrlfld
Arlo+,daily,Regression,ft_lldp_LocManAddrOID,test_ft_lldp_LocManAddrOID
Arlo+,daily,Regression,ft_port_frame_fwd_diff_mtu,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,base_line_port_move_from_vlan_a_to_vlan_b,test_base_line_port_move_from_vlan_a_to_vlan_b
Arlo+,daily,Regression,base_line_vlan_port_association,test_base_line_vlan_port_association
Arlo+,daily,Regression,ft_add_unknownvlan_interface,test_ft_add_unknownvlan_interface
Arlo+,daily,Regression,ft_show_vlan_brief,test_ft_vlan_trunk_tagged
Arlo+,daily,Regression,ft_vlan_delete_with_member,test_ft_vlan_delete_with_member
Arlo+,daily,Regression,ft_vlan_trunk_tagged,test_ft_vlan_trunk_tagged
Arlo+,long,Regression,mirror_action_config_upload,test_ft_system_config_mgmt_verifying_config_with_save_reboot
Arlo+,daily,Regression,ft_mirror_action_ip_addr,test_ft_erspan_action_ip_protocol_ip_addr_l4_ports
Arlo+,daily,Regression,mirror_action_encapsulation,test_ft_erspan_action_encapsulation
Arlo+,daily,Regression,mirror_action_l4_ports,test_ft_erspan_action_ip_protocol_ip_addr_l4_ports
Arlo+,daily,Regression,mirror_action_ip_addr,test_ft_erspan_action_ip_protocol_ip_addr_l4_ports
Arlo+,daily,Regression,ft_ping_vlan ,test_ft_ping_v4_v6_vlan
Arlo+,daily,Regression,mirror_action_ether_type,test_ft_erspan_action_ethertype_dscp_tcp_flags_l4range
Arlo+,daily,Regression,mirror_action_tcp_flags,test_ft_erspan_action_ethertype_dscp_tcp_flags_l4range
Arlo+,daily,Regression,mirror_action_dscp,test_ft_erspan_action_ethertype_dscp_tcp_flags_l4range
Arlo+,daily,Regression,base_line_l2_taggged_forwarding_with_portchannel,test_base_line_l2_taggged_forwarding_with_portchannel
Arlo+,daily,Regression,base_line_mac_move_single_vlan,test_base_line_mac_move_single_vlan
Arlo+,daily,Regression,ft_port_mtu_change_verify,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_ntp_disable_ntp_enable_ntp,test_ft_ntp_disable_enable_with_message_log
Arlo+,daily,Regression,ft_ntp_message_log_display_with_correct_time,test_ft_ntp_disable_enable_with_message_log
Arlo+,daily,Regression,ft_ssh_add_user_verify,test_ft_ssh_add_user_verify
Arlo+,daily,Regression,ft_ssh_service_disable,test_ft_ssh_service_disable
Arlo+,daily,Regression,ft_port_fec_nofec,test_ft_port_fec_nofec
Arlo+,daily,Regression,ft_specific_port_shutdown,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,FtOpSoSwLagFn041,test_ft_portchannel_with_vlan_variations
Arlo+,daily,Regression,FtOpSoSwLagFn042,test_ft_portchannel_with_vlan_variations
Arlo+,daily,Regression,ft_snmp_sysDescr,test_ft_snmp_sysDescr
Arlo+,daily,Regression,ft_snmp_sysLocation,test_ft_snmp_sysLocation
Arlo+,daily,Regression,ft_snmp_sysName,test_ft_snmp_sysName
Arlo+,daily,Regression,ft_snmp_test_syUpTime,test_ft_snmp_test_syUpTime
Arlo+,daily,Regression,base_line_portchannel_create_delete,test_base_line_portchannel_create_delete
Arlo+,daily,Regression,base_line_vlan_create_delete_and_mac_learning_with_bum,test_base_line_vlan_create_delete_and_mac_learning_with_bum
Arlo+,daily,Regression,l2_to_l3_port,test_l2_to_l3_port
Arlo+,daily,Regression,ft_ipv6_neighbor_entry,test_ft_ipv6_neighbor_entry
Arlo+,daily,Regression,ft_acl_v6_eg_redirect_sip_dip_routingports,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,ft_acl_v6_eg_redirect_srcip_dstip,test_ft_acl_egress_ipv6
Arlo+,daily,Regression,mirror_action_ip_addr_l4_ports,test_ft_erspan_action_ip_protocol_ip_addr_l4_ports
Arlo+,daily,Regression,test_mirror_action_l4_port_range,test_ft_erspan_action_ethertype_dscp_tcp_flags_l4range
Arlo+,daily,Regression,ft_ip6_static_route_traffic_fwd_blackhole ,test_ft_ip6_static_route_traffic_forward_blackhole
Arlo+,daily,Regression,ft_ipv6_address_check ,test_ft_ping_v4_v6_vlan
Arlo+,daily,Regression,mirror_action_ip_protocol_src_ip,test_ft_erspan_action_ip_protocol_ip_addr_l4_ports
Arlo+,daily,Regression,ft_ipv4_address_check ,test_ft_ping_v4_v6_vlan
Arlo+,daily,Regression,base_line_mac_move_across_vlans,test_base_line_mac_move_across_vlans
Arlo+,daily,Regression,ft_snmp_sysContact,test_ft_snmp_sysContact
Arlo+,daily,Regression,auth_shared_keys ,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,Regression,portchannel_member_vlan_participation,test_ft_portchannel_behavior_with_tagged_traffic
Arlo+,daily,Regression,executing_server_key_in_appropriate_mode,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,CRM,ft_crm_acl_counter,test_ft_crm_acl_counter
Arlo+,daily,CRM,ft_crm_acl_group,test_ft_crm_acl_group
Arlo+,daily,Regression,ft_system_uptime,test_ft_system_uptime
Arlo+,daily,Regression,ft_ping_after_ip_change,test_ft_ping__v4_v6_after_ip_change_pc
Arlo+,daily,Regression,ft_ping6_after_ip_change,test_ft_ping__v4_v6_after_ip_change_pc
Arlo+,daily,Regression,ft_ip6_address_check_pc,test_ft_ping__v4_v6_after_ip_change_pc
Arlo+,daily,Regression,ft_ip_L2_L3_translation,test_ft_ip_v4_v6_L2_L3_translation
Arlo+,daily,Regression,ft_ip6_L2_L3_translation,test_ft_ip_v4_v6_L2_L3_translation
Arlo+,daily,Regression,ft_ip6_static_route_traffic_forward ,test_ft_ip6_static_route_traffic_forward_blackhole
Arlo+,daily,Regression,ft_tacacs_default_login,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,Regression,ft_tacacs_add_multiple_servers,test_ft_tacacs_maximum_servers
Arlo+,daily,Regression,ft_tacacs_single_server_for_auth,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,Regression,ft_tacacs_ssh_login,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,Regression,ft_tacacs_maximum_ipv4_servers ,test_ft_tacacs_maximum_servers
Arlo+,daily,Regression,ft_port_speed_fn  ,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_traffic_fn,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_tacacs_nondefault_timeout,test_ft_tacacs_modify_server_parameters
Arlo+,daily,Regression,ft_tacacs_remove_highpriority_server,test_ft_tacacs_ssh_login_highest_priorityserver
Arlo+,daily,Regression,ft_tacacsauth_enable_pamfile_created,test_ft_tacacs_ssh_login_with_tacacs_operations
Arlo+,daily,Regression,ft_port_config_mtu,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_save_reload,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_fn_config_checking,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_port_check,test_ft_port_frame_fwd_diff_mtu
Arlo+,daily,Regression,ft_vlan_based_arp_entry_link_failure,test_ft_arp_entry_link_failure
Arlo+,daily,Regression,ft_ip_address_check_pc,test_ft_ping__v4_v6_after_ip_change_pc
Arlo+,daily,Regression,ft_mirror_action_encapsulation,test_ft_erspan_action_encapsulation
Arlo+,daily,Regression,FtOpSoSySnFn008,test_ft_snmp_mib_2
Arlo+,daily,Regression,FtOpSoSySnFn009,test_ft_snmp_if_mib_all
Arlo+,daily,Regression,FtOpSoSySnFn010,test_ft_snmp_entity_mib_all
Arlo+,daily,Regression,FtOpSoSySnFn011,test_ft_snmp_entity_sensor_mib
Arlo+,daily,Regression,FtOpSoSySnFn012,test_ft_snmp_dot1q_dot1db_mib
Arlo+,daily,Regression,FtOpSoSySnFn013,test_ft_snmp_dot1q_dot1db_mib
Arlo+,daily,Regression,FtOpSoSySnFn015,test_ft_snmp_root_node_walk
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_ip_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_ip_protocol_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_port_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_port_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_dst_port_range_fwd_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_ip_dst_port_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_port_dst_port_range_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v6_src_tcpflags_drop_port_channel,test_ft_acl_port_channel_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_ip_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_ip_fwd_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_ip_src_port_fwd_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_port_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_port_range_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_dst_port_range_fwd_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,daily,Regression,ft_in_acl_v4_src_tcpflags_drop_port_channel,test_ft_acl_port_channel_V4_ingress
Arlo+,long,Regression,ft_sytem_bootup_logging_debug,test_ft_sytem_bootup_logging_debug
Arlo+,long,Regression,ft_sys_hard_reboot_multiple_iter,test_ft_sys_hard_reboot_multiple_iter
Arlo+,long,Regression,ft_sys_soft_reboot_multiple_iter,test_ft_sys_soft_reboot_multiple_iter
Arlo+,long,Regression,ft_sys_show_reboot_cause,test_ft_sys_hard_reboot_multiple_iter
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdSc001,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdSc002,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdSc003,test_static_mac_scale
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdSc004,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdNe004,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdPe003,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdPe005,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdPe006,test_scale_vlans_macs
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdPe007,test_scale_vlans_macs
Arlo+,long,BFD,FtOpSoRoBfdSc085,test_FtOpSoRoBfdSc085
Arlo+,long,Regression,FtFpSoQoSCoSCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosAclCmFn002,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,ft_ecn_config_db_to_running_config_after_save_and_reload,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,ft_ecn_config_to_config_db_json_after_save_and_reboot,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosEcnCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosWredCfg001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,FtOpSoQosAclCmFn001,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,Regression,ft_acl_configvalues_save_reload,test_ft_qos_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,CRM,ft_crm_config_reboot,test_ft_system_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,CRM,ft_crm_fdb_save_reload,test_ft_system_config_mgmt_verifying_config_with_save_reboot
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdPe004,test_stp_mac_perf
Arlo+,long,L2 Forwarding enhancements scale,FtOpSoSwL2FwdPe008,test_scale_vlans_macs
Arlo+,daily,PVST,ft_pvst_fdb_blockingport,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_nondefault_bridge_priority,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_blocked_switch,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_cli,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_multiple_instances_convergence,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_learnt_traffic,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_unlearnt_unicast_traffic,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_portchannel_convergence,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_port_shut_noshut,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_bpdu,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_statistics,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_portchannel_bpdu,test_ft_pvst_general_verification
Arlo+,daily,Regression,FtOpSoSyInIpFn002,test_ft_port_fn_verify_shut_noshut
Arlo+,daily,Regression,ft_ipv4_acl_loader_add,test_ft_acl_loader
Arlo+,daily,Regression,FtOpSoSySnFn017,test_ft_snmp_ipAddressStorageType_ipv6
Arlo+,daily,Regression,FtOpSoSySnFn020,test_ft_snmp_ipv6_If_Forward_default_HopLimit
Arlo+,daily,Regression,ft_ipv6_ndp_clear_cache,test_ft_ipv6_neighbor_entry
Arlo+,daily,Regression,ft_ipv6_neighbor_static_entry,test_ft_ipv6_neighbor_entry
Arlo+,daily,Regression,ft_ip_static_ip_on_mgmt_intrf,test_ft_ip_static_ip_on_mgmt_intrf
Arlo+,daily,Regression,FtOpSoSySnFn016,test_ft_snmp_ipAddressRowStatus_ipv6
Arlo+,daily,Regression,FtOpSoSySnFn021,test_ft_snmp_ipv6scope_index_table
Arlo+,daily,PFC,FtOpSoSysAsyPFCFn013,test_ft_pfc_asym_congestion_in_both_duts
Arlo+,daily,PVST,ft_pvst_blockedport_shut_traffic,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_blockedport_shut_noshut,test_ft_pvst_general_verification
Arlo+,daily,PVST,ft_pvst_portfast,test_ft_pvst_port_actions
Arlo+,daily,PVST,ft_pvst_portchannel_cost_member_remove_add,test_ft_pvst_portchannel
Arlo+,daily,Regression,ft_bgp_update_delay_timer,TestBGPRif.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOpSoSwLagFn005,test_ft_lag_l3_hash_sip_dip_l4port
Arlo+,daily,Regression,FtOpSoSwLagFn010,test_ft_member_state_after_interchanged_the_members_across_portchannels
Arlo+,daily,Regression,FtOpSoSwVlFn010,test_ft_untagged_traffic_on_portchannel
Arlo+,daily,PFC,ft_pfc_sym_10g_port_channel,test_ft_pfc_sym_portchannel
Arlo+,daily,PFC,ft_pfc_asym_10g_port_channel,test_ft_pfc_asym_portchannel
Arlo+,daily,PVST,ft_pvst_interface_pvst_disable_enable,test_ft_pvst_port_actions
Arlo+,daily,PVST,ft_pvst_rootguard,test_ft_pvst_port_actions
Arlo+,daily,PVST,ft_pvst_bpduguard,test_ft_pvst_port_actions
Arlo+,daily,PVST,ft_pvst_log_events,test_ft_pvst_port_actions
Arlo+,daily,Regression,FtOtSoRtBgpPlFn032,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOtSoRtBgp4Fn070,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,daily,Regression,FtOtSoRtBgp4Fn069,TestBGPVeLag.test_ft_bgp_peer_traffic_check
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn030,test_ft_l3_performance_enhancements_v4_bgp_clos_topology_direct_link_fail_convergence_time
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn033,test_ft_l3_performance_enhancements_v4_bgp_clos_topology_direct_link_fail_convergence_time
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn034,test_ft_l3_performance_enhancements_v4_bgp_clos_topology_indirect_link_fail_convergence_time
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn035,test_ft_l3_performance_enhancements_v4_bgp_clos_topology_route_propagation_time
Arlo+,long,L3 Scale and Performance,FtRtPerfFn002,test_L3Scl_001
Arlo+,long,L3 Scale and Performance,FtRtPerfFn003,test_L3Scl_vrf_001
Arlo+,long,L3 Scale and Performance,FtRtPerfFn004,test_L3Scl_002
Arlo+,long,L3 Scale and Performance,FtRtPerfFn005,test_L3Scl_vrf_002
Arlo+,long,L3 Scale and Performance,FtRtPerfFn006,test_L3Scl_003
Arlo+,long,L3 Scale and Performance,FtRtPerfFn007,test_L3Scl_vrf_003
Arlo+,long,L3 Scale and Performance,FtRtPerfFn008,test_L3Scl_004
Arlo+,long,L3 Scale and Performance,FtRtPerfFn009,test_L3Scl_vrf_004
Arlo+,long,L3 Scale and Performance,FtRtPerfFn010,test_L3Scl_ECMP_007
Arlo+,long,L3 Scale and Performance,FtRtPerfFn014,test_L3Scl_ECMP_vrf_007
Arlo+,long,L3 Scale and Performance,FtRtPerfFn011,test_L3Scl_ECMP_008
Arlo+,long,L3 Scale and Performance,FtRtPerfFn018,test_L3Scl_005
Arlo+,long,L3 Scale and Performance,FtRtPerfFn019,test_L3Scl_006
Arlo+,long,L3 Scale and Performance,FtRtPerfFn012,test_L3Scl_ECMP_009
Arlo+,long,L3 Scale and Performance,FtRtPerfFn013,test_L3Scl_ECMP_010
Arlo+,long,L3 Scale and Performance,FtRtPerfFn015,test_L3Scl_ECMP_vrf_008
Arlo+,long,L3 Scale and Performance,FtRtPerfFn016,test_L3Scl_ECMP_vrf_009
Arlo+,long,L3 Scale and Performance,FtRtPerfFn017,test_L3Scl_ECMP_vrf_010
Arlo+,long,L3 Scale and Performance,FtRtPerfFn020,test_L3Scl_vrf_005
Arlo+,long,L3 Scale and Performance,FtRtPerfFn021,test_L3Scl_vrf_006
Arlo+,long,L3 Scale and Performance,FtRtPerfFn022,test_scale_vlans_macs
Arlo+,long,L3 Scale and Performance,FtRtPerfFn023,test_vrf_scale
Arlo+,long,L3 Scale and Performance,FtRtPerfFn024,test_vrf_scale
Arlo+,long,L3 Scale and Performance,FtRtPerfFn027,test_L3Scl_005
Arlo+,long,L3 Scale and Performance,FtRtPerfFn028,test_L3Scl_006
Arlo+,daily,PFC,FtOpSoSysPFCFn023,test_ft_pfc_disable_enable
Arlo+,daily,Regression,FtOpSoQosAclFn156,test_ft_acl_ingress_ipv4
Arlo+,daily,Regression,FtOpSoQosAclFn157,test_ft_acl_ingress_ipv4
Arlo+,long,L3 Performance enhancements,FtOpSoRtPerfFn044,test_ft_l3_performance_enhancements_v6_bgp_clos_topology_direct_link_fail_convergence_time
Arlo+,daily,PFC,FtOpSoSysPFCFn021,test_ft_pfc_disable_enable
Arlo+,daily,PVST,ft_pvst_portchannel_no_tc_member_del_add,test_ft_pvst_portchannel
Arlo+,daily,PVST,ft_pvst_diff_traffic_type,test_ft_pvst_traffic
Arlo+,daily,PFC,FtOpSoSys8021QbbScal001,test_ft_pfc_sym
Arlo+,daily,Regression,ft_acl_v4_rule_update_full,test_ft_acl_loader
Arlo+,daily,Regression,ft_acl_v4_rule_update_incremental,test_ft_acl_loader
Arlo+,daily,Regression,FtOpSoQosAclFn160,test_ft_acl_loader
Arlo+,daily,Regression,FtOpSoQoSCosFn001,test_ft_cos_tc_queue_map
Arlo+,daily,Regression,FtOpSoQsWdFn012,test_ft_wred_functionality
Arlo+,daily,PFC,FtOpSoSys8021QbbFi004,test_ft_pfc_sym_l3_interface
Arlo+,daily,Regression,FtOpSoQosAclFn093,test_ft_acl_ingress_ipv6_l3_forwarding
Arlo+,daily,Regression,FtOpSoQosAclFn096,test_ft_acl_ingress_ipv6_l3_forwarding
Arlo+,daily,Regression,FtOpSoQosAclFn098,test_ft_acl_ingress_ipv6_l3_forwarding
Arlo+,daily,Regression,FtOtSoRtBgpPlFn004,TestBGPRif.test_ft_bgp_v6_dyn_nbr
Arlo+,daily,Regression,FtOtSoRtBgpPlFn006,TestBGPRif.test_ft_bgp_v6_link_local_bgp
Arlo+,daily,Regression,FtOtSoRtBgp4Fn001,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match
Arlo+,daily,Regression,FtOtSoRtBgp4Fn002,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set
